market,odds_col,window,score_state,stat_filter,n,wr,roi,pl,ci_lo,ci_hi,avg_odds,sharpe,max_dd,n_leagues,max_lg_conc,top_league,roi_train,roi_test,n_train,n_test,overlap_note
BACK Over 3.5,back_over35,60-80,goals_ge4,none,41,90.2,75.9,310.99,77.5,96.1,1.97,5.81,20.0,31,0.1,Bundesliga,93.5,37.9,28,13,
LAY Under 2.5,lay_under25,45-65,goals_ge3,none,61,95.1,73.0,445.0,86.5,98.3,3.63,5.77,43.0,34,0.11,Desconocida,75.5,67.4,42,19,
BACK Over 1.5,back_over15,60-80,lead2,none,41,92.7,43.9,180.19,80.6,97.5,1.61,5.55,10.0,23,0.12,Desconocida,45.7,40.2,28,13,
LAY CS 1-1,lay_rc_1_1,60-80,away+1,none,39,94.9,75.5,294.5,83.1,98.6,4.95,5.55,29.0,22,0.18,Desconocida,80.7,63.7,27,12,
LAY Under 2.5,lay_under25,45-65,goals_ge3,xg_low,46,95.7,73.9,340.0,85.5,98.8,3.71,5.0,43.0,30,0.11,Desconocida,81.1,57.5,32,14,
BACK Over 1.5,back_over15,45-65,home+2,none,43,95.3,21.5,92.44,84.5,98.7,1.29,4.82,10.0,26,0.12,Bundesliga,23.2,17.6,30,13,
LAY Over 4.5,lay_over45,50-70,lead2,xg_low,70,94.3,66.5,465.3,86.2,97.8,7.22,4.43,135.0,36,0.07,Championship,57.8,86.8,49,21,lay_over45_v3
LAY Over 4.5,lay_over45,50-70,home+2,none,52,94.2,69.2,359.8,84.4,98.0,6.73,4.32,88.5,32,0.08,Desconocida,77.9,49.6,36,16,lay_over45_v3
LAY Under 2.5,lay_under25,40-60,goals_ge3,none,49,93.9,67.6,331.0,83.5,97.9,3.65,4.31,43.0,32,0.1,Desconocida,70.9,60.0,34,15,
BACK Away,back_away,65-85,away+1,xg_low,109,74.3,66.7,727.01,65.4,81.6,2.19,4.1,44.28,40,0.07,Liga Argentina,66.7,66.7,76,33,away_fav_leading
BACK Away,back_away,60-80,away+1,xg_low,126,72.2,54.2,682.98,63.8,79.3,2.13,4.06,45.73,45,0.07,Desconocida,61.0,38.6,88,38,away_fav_leading
LAY Over 4.5,lay_over45,60-80,lead2,xg_low,59,88.1,62.8,370.4,77.5,94.1,7.85,3.97,86.2,33,0.08,Bundesliga,60.8,67.3,41,18,lay_over45_v3
BACK Away,back_away,70-90,away+1,xg_low,89,75.3,67.4,599.74,65.4,83.1,2.18,3.91,29.57,34,0.08,Liga Argentina,63.1,77.3,62,27,away_fav_leading
LAY CS 1-1,lay_rc_1_1,65-85,lead1,xg_low,63,92.1,60.2,379.0,82.7,96.6,5.24,3.88,54.0,24,0.22,Desconocida,71.1,34.7,44,19,
BACK Away,back_away,60-80,away+1,none,144,70.1,46.8,673.65,62.2,77.0,2.08,3.86,45.73,47,0.08,Desconocida,51.1,37.0,100,44,away_fav_leading
BACK Away,back_away,65-85,away+1,none,129,72.1,54.8,707.06,63.8,79.1,2.1,3.86,50.79,43,0.07,Primeira Liga,51.0,63.6,90,39,away_fav_leading
LAY Over 4.5,lay_over45,60-80,any,xg_low,162,85.2,44.5,720.6,78.9,89.8,6.57,3.82,116.3,43,0.09,Bundesliga,48.8,34.6,113,49,lay_over45_v3
LAY Under 3.5,lay_under35,60-80,goals_ge4,none,39,89.7,62.6,244.1,76.4,95.9,2.46,3.77,37.0,30,0.1,Bundesliga,80.0,23.4,27,12,
BACK Away,back_away,70-90,away+1,none,107,73.8,55.6,595.22,64.8,81.2,2.08,3.75,30.59,37,0.07,Primeira Liga,53.4,60.6,74,33,away_fav_leading
LAY Home,lay_home,45-65,away+1,xg_low,61,85.2,51.4,313.6,74.3,92.0,3.37,3.59,45.9,32,0.1,Bundesliga,57.4,38.3,42,19,
LAY Over 4.5,lay_over45,65-85,any,xg_low,141,82.3,41.9,590.7,75.1,87.7,6.0,3.54,81.5,42,0.08,Bundesliga,41.0,44.0,98,43,lay_over45_v3
BACK Over 2.5,back_over25,40-60,goals_ge2,none,272,77.2,17.0,461.44,71.9,81.8,1.53,3.52,87.76,54,0.08,Desconocida,17.9,14.8,190,82,
BACK Over 2.5,back_over25,40-60,goals_ge2,xg_low,241,77.2,18.1,437.04,71.5,82.0,1.55,3.48,90.22,53,0.08,Desconocida,20.7,12.3,168,73,
BACK Over 3.5,back_over35,45-65,goals_ge3,none,114,65.8,42.5,484.15,56.7,73.9,2.15,3.46,34.93,43,0.07,Championship,43.7,39.7,79,35,
LAY Over 4.5,lay_over45,50-70,home+2,xg_low,44,93.2,64.5,283.8,81.8,97.7,6.9,3.42,88.5,29,0.07,La Liga,56.0,82.7,30,14,lay_over45_v3
LAY Home,lay_home,45-65,away+1,none,65,84.6,48.3,314.1,73.9,91.4,3.3,3.35,68.0,33,0.09,Bundesliga,51.5,41.1,45,20,
LAY Over 4.5,lay_over45,55-75,lead2,xg_low,63,92.1,61.2,385.8,82.7,96.6,7.77,3.27,136.5,35,0.08,Bundesliga,54.1,77.8,44,19,lay_over45_v3
LAY Over 4.5,lay_over45,65-85,goals_ge2,xg_low,136,81.6,39.9,543.2,74.3,87.2,5.88,3.26,81.5,42,0.07,Desconocida,39.3,41.5,95,41,lay_over45_v3
BACK Away,back_away,50-70,away+1,xg_low,157,64.3,37.0,580.46,56.6,71.4,2.18,3.25,72.59,51,0.06,Premier League,35.3,40.7,109,48,away_fav_leading
BACK Home,back_home,65-85,home+1,xg_low,169,75.7,23.9,404.0,68.8,81.6,1.72,3.23,50.0,43,0.08,Desconocida,22.5,27.3,118,51,
LAY Over 4.5,lay_over45,60-80,goals_ge2,xg_low,150,84.0,40.4,606.6,77.3,89.0,6.37,3.23,125.8,43,0.07,Championship,45.3,29.2,105,45,lay_over45_v3
BACK Over 3.5,back_over35,40-60,goals_ge3,none,93,65.6,44.1,410.24,55.5,74.5,2.14,3.22,40.0,39,0.1,Championship,43.8,44.8,65,28,
LAY CS 1-1,lay_rc_1_1,70-90,lead1,none,78,91.0,51.5,401.5,82.6,95.6,5.18,3.15,68.0,28,0.15,Desconocida,57.0,39.0,54,24,
