market,odds_col,window,score_state,stat_filter,n,wr,roi,pl,ci_lo,ci_hi,avg_odds,sharpe,max_dd,n_leagues,max_lg_conc,top_league,roi_train,roi_test,n_train,n_test,overlap_note
BACK Over 2.5,back_over25,55-75,away+2,none,43,76.7,17.0,73.07,62.3,86.8,1.64,1.29,24.99,23,0.16,Desconocida,20.6,8.6,30,13,
BACK Under 3.5,back_under35,65-85,goals_ge2,corners_dom,65,66.2,15.9,103.46,54.0,76.5,1.91,1.29,52.58,28,0.17,Desconocida,9.4,30.5,45,20,
LAY Draw,lay_draw,40-60,lead1,corners_dom,65,78.5,23.0,149.5,67.0,86.7,3.71,1.28,88.5,29,0.15,Desconocida,21.5,26.5,45,20,
LAY Under 2.5,lay_under25,50-70,tied_1-1,none,135,73.3,15.7,212.5,65.3,80.1,3.38,1.27,86.0,40,0.1,Desconocida,9.4,30.2,94,41,
LAY Draw,lay_draw,70-90,lead1,corners_dom,53,79.2,25.5,135.3,66.5,88.0,3.74,1.26,65.6,24,0.09,Liga Argentina,30.6,13.8,37,16,
BACK Under 3.5,back_under35,45-65,goals_ge2,sot_home,51,58.8,27.6,140.71,45.2,71.2,2.35,1.26,37.23,23,0.14,Desconocida,23.0,37.6,35,16,
BACK Home,back_home,45-65,any,poss_away,52,53.8,24.2,125.65,40.5,66.7,2.59,1.23,52.59,24,0.15,Liga Argentina,32.7,4.9,36,16,
LAY Draw,lay_draw,45-65,goals_ge3,xg_low,72,75.0,19.5,140.4,63.9,83.6,3.57,1.21,78.4,36,0.07,Eredivisie,15.1,29.5,50,22,
LAY Draw,lay_draw,55-75,away+1,none,146,77.4,15.1,220.7,70.0,83.4,3.65,1.21,146.5,45,0.08,Desconocida,6.5,35.0,102,44,
LAY CS 1-2,lay_rc_1_2,70-90,any,none,55,83.6,27.4,150.6,71.7,91.1,5.71,1.21,82.8,26,0.2,Desconocida,6.3,74.4,38,17,
LAY CS 1-2,lay_rc_1_2,70-90,goals_ge2,none,55,83.6,27.4,150.6,71.7,91.1,5.71,1.21,82.8,26,0.2,Desconocida,6.3,74.4,38,17,
LAY Draw,lay_draw,65-85,lead1,corners_dom,60,78.3,22.6,135.3,66.4,86.9,3.59,1.18,84.5,25,0.1,Liga Argentina,31.5,1.7,42,18,
BACK Over 2.5,back_over25,60-80,away+2,none,50,72.0,18.5,92.35,58.3,82.5,1.78,1.18,26.48,28,0.14,Desconocida,10.9,36.0,35,15,
LAY Home,lay_home,45-65,0-0,poss_home,38,63.2,19.9,75.5,47.3,76.6,2.26,1.17,36.5,18,0.16,Desconocida,28.5,1.1,26,12,
LAY Over 3.5,lay_over35,60-80,any,sot_home,64,73.4,20.0,128.2,61.5,82.7,3.42,1.17,139.0,30,0.11,Desconocida,7.6,47.4,44,20,
LAY CS 0-0,lay_rc_0_0,45-65,any,none,102,82.4,20.1,205.4,73.8,88.5,6.08,1.15,151.3,30,0.21,Desconocida,11.5,39.9,71,31,
LAY Draw,lay_draw,40-60,goals_ge3,xg_low,60,75.0,20.2,121.1,62.8,84.2,3.48,1.14,65.9,29,0.08,Eredivisie,24.4,10.3,42,18,
LAY Away,lay_away,70-90,tied_1-1,none,81,79.0,19.9,161.0,68.9,86.5,3.91,1.14,122.5,33,0.09,Desconocida,22.4,14.2,56,25,
LAY Over 4.5,lay_over45,45-65,any,xg_low,205,87.8,19.3,396.1,82.6,91.6,7.45,1.14,206.4,46,0.09,Desconocida,26.8,2.2,143,62,lay_over45_v3
LAY Under 2.5,lay_under25,60-80,away+2,none,49,71.4,20.7,101.6,57.6,82.2,3.21,1.14,35.9,28,0.14,Desconocida,23.2,15.1,34,15,
LAY Draw,lay_draw,70-90,away+1,none,103,79.6,17.6,181.0,70.8,86.3,3.64,1.13,113.5,38,0.08,Bundesliga,19.2,13.9,72,31,
BACK Under 3.5,back_under35,55-75,any,sot_away,38,68.4,19.9,75.51,52.5,80.9,2.24,1.11,36.2,24,0.13,Desconocida,21.4,16.6,26,12,
LAY Over 4.5,lay_over45,65-85,lead2,none,66,74.2,22.5,148.6,62.6,83.3,6.95,1.1,146.8,32,0.09,Championship,20.6,27.0,46,20,lay_over45_v3
BACK Under 2.5,back_under25,50-70,any,xg_home,53,58.5,18.4,97.27,45.1,70.7,2.43,1.08,36.35,23,0.11,Desconocida,15.9,24.1,37,16,
LAY Draw,lay_draw,50-70,goals_ge3,xg_low,74,74.3,17.4,128.8,63.3,82.9,3.47,1.07,85.9,35,0.07,Championship,6.2,42.2,51,23,
BACK Under 3.5,back_under35,50-70,any,poss_home,44,63.6,23.8,104.56,48.9,76.2,2.2,1.07,36.28,25,0.18,Desconocida,4.4,65.3,30,14,
LAY Over 4.5,lay_over45,45-65,any,corners_dom,45,84.4,28.2,126.7,71.2,92.3,6.43,1.04,103.0,25,0.2,Desconocida,24.3,36.7,31,14,lay_over45_v3
LAY Over 4.5,lay_over45,65-85,goals_ge3,xg_low,121,77.7,17.7,214.7,69.5,84.2,4.94,1.04,213.9,42,0.07,Desconocida,9.8,35.7,84,37,lay_over45_v3
BACK Under 3.5,back_under35,65-85,away+1,xg_low,45,60.0,16.4,73.72,45.5,73.0,2.17,1.02,104.95,24,0.13,Bundesliga,9.4,31.9,31,14,
LAY Over 3.5,lay_over35,70-90,any,xg_home,42,76.2,23.4,98.3,61.5,86.5,4.14,1.02,87.5,19,0.12,Desconocida,10.2,52.8,29,13,
LAY Over 3.5,lay_over35,70-90,any,corners_dom,62,71.0,18.6,115.2,58.7,80.8,4.19,1.02,104.1,24,0.19,Desconocida,13.0,31.2,43,19,
LAY Over 4.5,lay_over45,55-75,any,none,215,84.2,15.1,325.0,78.7,88.5,6.83,1.02,212.0,49,0.08,Bundesliga,10.3,26.1,150,65,lay_over45_v3
BACK Under 2.5,back_under25,55-75,any,xg_home,48,64.6,16.8,80.53,50.4,76.6,2.1,1.01,44.8,23,0.12,Serie A,0.4,52.8,33,15,
LAY Home,lay_home,40-60,0-0,poss_home,40,60.0,16.3,65.1,44.6,73.7,2.24,1.0,33.8,18,0.17,Liga Argentina,22.8,1.0,28,12,
LAY Over 2.5,lay_over25,55-75,any,xg_home,40,60.0,17.1,68.3,44.6,73.7,2.43,1.0,64.8,20,0.1,Bundesliga,5.3,44.6,28,12,
LAY Away,lay_away,40-60,home+1,none,68,82.4,20.2,137.5,71.6,89.6,4.06,0.98,110.6,31,0.1,Bundesliga,10.5,41.9,47,21,
LAY Over 4.5,lay_over45,40-60,any,xg_low,233,87.6,16.7,388.6,82.7,91.2,7.7,0.97,246.0,45,0.09,Desconocida,13.4,24.4,163,70,lay_over45_v3
LAY Over 4.5,lay_over45,55-75,home+2,none,49,87.8,28.4,139.3,75.8,94.3,7.7,0.96,192.0,29,0.08,Bundesliga,29.3,26.5,34,15,lay_over45_v3
BACK Under 3.5,back_under35,55-75,goals_ge2,corners_dom,55,56.4,17.6,96.76,43.3,68.6,2.38,0.95,80.0,23,0.18,Desconocida,13.0,28.0,38,17,
LAY Over 4.5,lay_over45,50-70,goals_ge2,sot_home,40,85.0,27.1,108.2,70.9,92.9,5.89,0.95,71.0,21,0.15,Desconocida,23.1,36.3,28,12,lay_over45_v3
BACK Under 3.5,back_under35,50-70,lead1,sot_home,49,67.3,17.3,84.78,53.4,78.8,1.82,0.94,40.64,26,0.12,Desconocida,20.6,9.8,34,15,
LAY Over 3.5,lay_over35,70-90,goals_ge2,corners_dom,61,70.5,17.3,105.7,58.1,80.4,4.15,0.94,104.1,23,0.2,Desconocida,11.1,31.2,42,19,
LAY CS 0-0,lay_rc_0_0,45-65,any,xg_low,98,81.6,17.1,167.4,72.8,88.1,5.98,0.94,157.6,30,0.19,Desconocida,7.8,38.1,68,30,
LAY CS 0-0,lay_rc_0_0,50-70,any,none,84,78.6,17.3,145.4,68.7,86.0,5.4,0.94,130.1,29,0.18,Desconocida,8.5,36.9,58,26,
LAY Draw,lay_draw,65-85,goals_ge2,corners_dom,49,65.3,15.9,77.9,51.3,77.1,2.86,0.93,64.1,29,0.12,Desconocida,21.4,3.3,34,15,
LAY Under 2.5,lay_under25,55-75,away+2,none,40,77.5,21.8,87.3,62.5,87.7,3.79,0.92,66.0,24,0.15,Desconocida,18.7,29.2,28,12,
LAY CS 0-0,lay_rc_0_0,60-80,any,none,67,73.1,17.6,118.2,61.5,82.3,4.68,0.92,86.0,27,0.19,Desconocida,6.9,41.1,46,21,
LAY CS 0-0,lay_rc_0_0,55-75,any,none,75,76.0,17.1,127.9,65.2,84.2,4.88,0.91,100.9,27,0.17,Desconocida,7.5,38.6,52,23,
LAY Over 4.5,lay_over45,60-80,goals_ge3,xg_low,111,78.4,16.1,178.6,69.8,85.0,4.97,0.9,216.4,41,0.07,Desconocida,11.7,26.0,77,34,lay_over45_v3
LAY Draw,lay_draw,50-70,any,poss_away,51,72.5,16.3,83.3,59.1,82.9,3.37,0.87,101.8,26,0.12,Liga Argentina,16.0,17.0,35,16,
BACK Under 3.5,back_under35,60-80,lead1,corners_dom,39,64.1,15.3,59.74,48.4,77.3,2.03,0.84,28.89,18,0.18,Desconocida,12.2,22.3,27,12,
LAY Over 2.5,lay_over25,50-70,0-0,none,56,80.4,19.3,108.0,68.2,88.7,4.61,0.84,103.6,29,0.09,Bundesliga,12.4,35.2,39,17,
LAY Over 4.5,lay_over45,55-75,home+1,xg_low,54,85.2,22.2,119.8,73.4,92.3,5.84,0.84,113.5,32,0.07,Desconocida,19.1,29.0,37,17,lay_over45_v3
LAY Over 4.5,lay_over45,60-80,home+1,xg_low,52,84.6,22.2,115.5,72.5,92.0,6.2,0.84,123.0,31,0.12,Desconocida,7.6,55.1,36,16,lay_over45_v3
BACK Under 3.5,back_under35,50-70,home+1,sot_home,44,68.2,15.8,69.34,53.4,80.0,1.74,0.83,40.64,25,0.14,Desconocida,11.2,25.5,30,14,under35_late
LAY Over 4.5,lay_over45,45-65,home+2,xg_low,47,87.2,27.6,129.7,74.8,94.0,6.09,0.83,125.0,28,0.11,Desconocida,17.2,49.7,32,15,lay_over45_v3
LAY Over 2.5,lay_over25,50-70,0-0,xg_low,54,81.5,18.9,102.3,69.2,89.6,4.63,0.8,99.8,29,0.09,Bundesliga,11.5,35.2,37,17,
LAY CS 0-0,lay_rc_0_0,50-70,any,xg_low,78,78.2,15.3,119.4,67.8,85.9,5.18,0.79,119.6,28,0.17,Desconocida,7.9,32.1,54,24,
LAY CS 0-0,lay_rc_0_0,55-75,any,xg_low,66,75.8,15.9,104.7,64.2,84.5,4.68,0.78,96.2,25,0.15,Desconocida,9.7,30.1,46,20,
LAY Over 3.5,lay_over35,50-70,any,poss_home,42,64.3,15.3,64.2,49.2,77.0,4.03,0.77,55.1,24,0.19,Desconocida,3.3,41.9,29,13,
LAY Over 4.5,lay_over45,45-65,goals_ge2,sot_home,38,84.2,23.9,90.8,69.6,92.6,5.38,0.76,146.3,21,0.13,Desconocida,5.9,62.9,26,12,lay_over45_v3
LAY CS 1-0,lay_rc_1_0,60-80,0-0,none,47,83.0,19.1,90.0,69.9,91.1,5.29,0.75,103.5,23,0.21,Desconocida,17.3,23.0,32,15,
LAY Over 4.5,lay_over45,55-75,lead2,none,77,84.4,17.4,133.8,74.7,90.9,7.48,0.71,211.5,35,0.1,Desconocida,7.4,39.5,53,24,lay_over45_v3
LAY CS 2-1,lay_rc_2_1,40-60,home+1,xg_low,61,90.2,20.9,127.5,80.2,95.4,8.0,0.71,122.5,22,0.13,Desconocida,23.8,14.5,42,19,
LAY CS 1-2,lay_rc_1_2,60-80,goals_ge2,none,49,81.6,16.7,81.9,68.6,90.0,5.83,0.68,104.1,25,0.2,Desconocida,1.9,50.3,34,15,
LAY CS 1-0,lay_rc_1_0,60-80,0-0,xg_low,40,82.5,17.0,68.0,68.0,91.3,5.36,0.61,97.5,20,0.2,Desconocida,22.1,5.0,28,12,
LAY Over 4.5,lay_over45,60-80,any,corners_dom,50,80.0,15.0,74.8,67.0,88.8,6.38,0.55,152.1,25,0.14,Desconocida,11.6,22.7,35,15,lay_over45_v3
LAY Over 4.5,lay_over45,60-80,goals_ge2,corners_dom,50,80.0,15.0,74.8,67.0,88.8,6.41,0.55,152.1,25,0.16,Desconocida,11.6,22.7,35,15,lay_over45_v3
