fecha,partido,liga,estrategia,tipo,minuto,odds,won,pl,pl_acum,ft_score,riesgo,xg_total,xg_excess,sot_max,drift_pct,match_id
2026-02-21 19:37,Toulouse Paris Fc 35243052,,LAY Over 1.5,LAY,75,2.22,NO,-1.22,+62.59,,,2.65,,,,toulouse-paris-fc-apuestas-35243052
2026-02-21 21:17,St Louis City Sc Charlotte Fc 35189525,,Pressure Cooker,BACK,74,2.18,NO,-1.00,+61.59,,,,,,,st-louis-city-sc-charlotte-fc-apuestas-35189525
2026-02-21 21:42,las-palmas-castellón-apuestas-35272365,,LAY Over 1.5,LAY,75,2.26,NO,-1.26,+60.33,,,2.18,,,,las-palmas-castellón-apuestas-35272365
2026-02-21 22:38,Ohiggins Colo Colo 35272765,,LAY Over 1.5,LAY,76,9.20,SI,+0.95,+61.28,,,1.3,,,,ohiggins-colo-colo-apuestas-35272765
2026-02-22 03:10,Austin Fc Minnesota Utd 35189679,,Pressure Cooker,BACK,66,2.02,SI,+0.93,+62.22,,,,,,,austin-fc-minnesota-utd-apuestas-35189679
2026-02-22 11:00,Kayserispor Antalyaspor 35270464,,Momentum xG V1,BACK,28,2.22,SI,+1.12,+63.34,,none,,,,,kayserispor-antalyaspor-apuestas-35270464
2026-02-22 12:23,Rasi Salai United Fc Esan Pattaya 3529119,,Goal Clustering,BACK,54,2.76,NO,-1.00,+62.34,,,,,6,,rasi-salai-united-fc-esan-pattaya-apuestas-3529119
2026-02-22 14:35,Getafe Sevilla 35244724,,LAY Over 2.5 Def,LAY,71,9.00,SI,+0.95,+63.29,,,0.32,,,,getafe-sevilla-apuestas-35244724
2026-02-22 15:09,Wattens Sv Ried 35243316,,Pressure Cooker,BACK,71,2.48,NO,-1.00,+62.29,,,,,,,wattens-sv-ried-apuestas-35243316
2026-02-22 15:34,atalanta-nápoles-apuestas-35245356,,Pressure Cooker,BACK,65,1.91,SI,+0.83,+63.11,,,,,,,atalanta-nápoles-apuestas-35245356
2026-02-22 15:35,Ofi Panathinaikos 35243505,,LAY Over 2.5 Def,LAY,71,8.20,SI,+0.95,+64.06,,,0.95,,,,ofi-panathinaikos-apuestas-35243505
2026-02-22 16:32,La Serena Univ De Concepcion 35272763,,Pressure Cooker,BACK,65,1.92,NO,-1.00,+63.06,,,,,,,la-serena-univ-de-concepcion-apuestas-35272763
2026-02-22 16:39,Livingston Rangers 35273832,,LAY Falso Fav,LAY,81,1.29,SI,+0.95,+64.01,,,,,,,livingston-rangers-apuestas-35273832
2026-02-22 17:17,Az Alkmaar Sparta Rotterdam 35243141,,xG Underperf,BACK,69.0,1.57,SI,+0.51,+64.53,,,,0.5,,,az-alkmaar-sparta-rotterdam-apuestas-35243141
2026-02-22 17:25,Az Alkmaar Sparta Rotterdam 35243141,,LAY Over 1.5,LAY,76,2.20,NO,-1.20,+63.33,,,1.28,,,,az-alkmaar-sparta-rotterdam-apuestas-35243141
2026-02-22 17:43,Reggiana Calcio Avellino Ssd 35271866,,Pressure Cooker,BACK,65,2.10,NO,-1.00,+62.33,,,,,,,reggiana-calcio-avellino-ssd-apuestas-35271866
2026-02-22 17:51,Angers Lille 35243046,,LAY Over 1.5,LAY,75,2.28,SI,+0.95,+63.27,,,2.52,,,,angers-lille-apuestas-35243046
2026-02-22 18:01,St Pauli Werder Bremen 35244116,,Pressure Cooker,BACK,65,1.96,SI,+0.87,+64.15,,,,,,,st-pauli-werder-bremen-apuestas-35244116
2026-02-22 19:03,Racing De Santander Burgos 35271752,,LAY Over 2.5 Def,LAY,70,8.60,SI,+0.95,+65.10,,,0.87,,,,racing-de-santander-burgos-apuestas-35271752
2026-02-22 19:37,Estoril Gil Vicente 35271813,,Pressure Cooker,BACK,66,1.84,SI,+0.76,+65.86,,,,,,,estoril-gil-vicente-apuestas-35271813
2026-02-22 20:31,Novorizontino Santos 35276018,,Pressure Cooker,BACK,65,1.85,SI,+0.77,+66.63,,,,,,,novorizontino-santos-apuestas-35276018
2026-02-22 21:43,juventude-grêmio-apuestas-35272704,,Momentum xG V1,BACK,42,5.50,NO,-1.00,+65.63,,none,,,,,juventude-grêmio-apuestas-35272704
2026-02-22 22:07,Oporto Rio Ave 35273775,,LAY Over 1.5,LAY,76,2.00,SI,+0.95,+66.58,,,1.38,,,,oporto-rio-ave-apuestas-35273775
2026-02-22 22:09,Audax Italiano Everton De Vina 35272581,,Momentum xG V1,BACK,45,2.48,SI,+1.36,+67.94,,none,,,,,audax-italiano-everton-de-vina-apuestas-35272581
2026-02-22 22:35,Vasco Da Gama Fluminense 35280181,,LAY Over 2.5 Def,LAY,70,7.80,SI,+0.95,+68.89,,,0.87,,,,vasco-da-gama-fluminense-apuestas-35280181
2026-02-22 22:36,juventude-grêmio-apuestas-35272704,,Pressure Cooker,BACK,71,2.02,NO,-1.00,+67.89,,,,,,,juventude-grêmio-apuestas-35272704
2026-02-22 22:44,Audax Italiano Everton De Vina 35272581,,LAY Over 1.5,LAY,79,2.70,SI,+0.95,+68.84,,,2.17,,,,audax-italiano-everton-de-vina-apuestas-35272581
2026-02-23 01:10,Portuguesa Sp Corinthians 35275959,,LAY Over 1.5,LAY,75,2.10,NO,-1.10,+67.74,,,2.64,,,,portuguesa-sp-corinthians-apuestas-35275959
2026-02-23 19:05,Fiorentina Pisa 35245379,,LAY Over 2.5 Def,LAY,70,6.60,SI,+0.95,+68.69,,,1.18,,,,fiorentina-pisa-apuestas-35245379
2026-02-23 19:38,Brondby Sonderjyske 35275500,,LAY Over 1.5,LAY,75,8.60,SI,+0.95,+69.64,,,1.96,,,,brondby-sonderjyske-apuestas-35275500
2026-02-23 21:02,Kahraba Ismailia El Geish 35276446,,Pressure Cooker,BACK,66,2.30,SI,+1.19,+70.83,,,,,,,kahraba-ismailia-el-geish-apuestas-35276446
2026-02-23 21:09,cádiz-sociedad-b-apuestas-35274211,,LAY Over 1.5,LAY,75,2.34,NO,-1.34,+69.48,,,1.81,,,,cádiz-sociedad-b-apuestas-35274211
2026-02-23 21:16,Le Mans Guingamp 35273823,,Pressure Cooker,BACK,66,2.20,NO,-1.00,+68.48,,,,,,,le-mans-guingamp-apuestas-35273823
2026-02-23 21:32,alavés-girona-apuestas-35244729,,Pressure Cooker,BACK,67,1.97,SI,+0.88,+69.37,,,,,,,alavés-girona-apuestas-35244729
2026-02-23 21:37,Everton Manchester United 35240883,,LAY Over 1.5,LAY,76,2.62,SI,+0.95,+70.32,,,1.54,,,,everton-manchester-united-apuestas-35240883
2026-02-23 21:37,Walsall Mk Dons 35277663,,LAY Over 1.5,LAY,76,2.62,NO,-1.62,+68.70,,,0.72,,,,walsall-mk-dons-apuestas-35277663
2026-02-23 21:51,Famalicao Casa Pia 35273780,,LAY Over 1.5,LAY,75,2.44,NO,-1.44,+67.26,,,1.24,,,,famalicao-casa-pia-apuestas-35273780
2026-02-24 21:02,Ayr Inverness Ct 35296340,,Pressure Cooker,BACK,65,2.06,SI,+0.97,+68.23,,,,,,,ayr-inverness-ct-apuestas-35296340
2026-02-24 21:15,Hull Derby 35268742,,Pressure Cooker,BACK,66,1.85,SI,+0.77,+69.00,,,,,,,hull-derby-apuestas-35268742
2026-02-24 21:17,Salford City Shrewsbury 35292779,,Pressure Cooker,BACK,65,1.90,SI,+0.82,+69.81,,,,,,,salford-city-shrewsbury-apuestas-35292779
2026-02-24 21:17,Watford Ipswich 35272377,,LAY Over 2.5 Def,LAY,71,9.60,SI,+0.95,+70.76,,,0.99,,,,watford-ipswich-apuestas-35272377
2026-02-24 21:21,West Bromwich Charlton 35268730,,Pressure Cooker,BACK,70,2.14,NO,-1.00,+69.76,,,,,,,west-bromwich-charlton-apuestas-35268730
2026-02-24 21:21,Accrington Barnet 35292806,,LAY Over 1.5,LAY,75,9.20,SI,+0.95,+70.71,,,1.18,,,,accrington-barnet-apuestas-35292806
2026-02-24 21:21,Swansea Preston 35268696,,LAY Over 1.5,LAY,76,2.52,NO,-1.52,+69.19,,,2.58,,,,swansea-preston-apuestas-35268696
2026-02-24 21:24,Bradford Rotherham 35292540,,LAY Over 1.5,LAY,75,2.68,SI,+0.95,+70.14,,,1.04,,,,bradford-rotherham-apuestas-35292540
2026-02-25 21:32,Gimnasia La Plata Rosario Central 3527643,,Pressure Cooker,BACK,66,1.96,SI,+0.87,+71.02,,,,,,,gimnasia-la-plata-rosario-central-apuestas-3527643
2026-02-26 23:29,Guarani Par Juventud De Las Piedras 35286,,Pressure Cooker,BACK,66,2.12,SI,+1.03,+72.04,,,,,,,guarani-par-juventud-de-las-piedras-apuestas-35286
2026-02-27 18:29,Hobro Hb Koge 35285715,,Pressure Cooker,BACK,65,1.94,NO,-1.00,+71.04,,,,,,,hobro-hb-koge-apuestas-35285715
2026-02-27 21:12,Harrogate Town Cheltenham 35293565,,Pressure Cooker,BACK,65,1.93,NO,-1.00,+70.04,,,,,,,harrogate-town-cheltenham-apuestas-35293565
