id,timestamp_utc,match_id,match_name,match_url,strategy,strategy_name,minute,score,recommendation,back_odds,min_odds,expected_value,confidence,win_rate_historical,roi_historical,sample_size,bet_type,stake,notes,status,result,pl,telegram_sent
29,2026-03-18 12:05:47,urawa-kashiwa-apuestas-35370852,Urawa - Kashiwa,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/jap%C3%B3n-j-league-100-year-vision/urawa-kashiwa-apuestas-35370852,cs_11,BACK CS 1-1 Late,72,1-1,BACK CS 1-1 @ 2.08,2.08,,0.013,medium,50.0,23.5,128,paper,1.0,Auto-registrado,won,won,1.03,1
30,2026-03-18 12:10:54,jeju-utd-ulsan-hyundai-horang-i-apuestas-35375374,Jeju Utd - Ulsan Hyundai Horang-i,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/corea-del-sur-k1-league/jeju-utd-ulsan-hyundai-horang-i-apuestas-35375374,cs_20,BACK CS 2-0/0-2,76,0-2,BACK CS 0-2 @ 1.93,1.93,1.5,0.059,medium,56.2,43.1,73,paper,1.0,Auto-registrado,won,won,0.88,1
31,2026-03-18 14:28:23,alanyaspor-kocaelispor-apuestas-35363452,Alanyaspor - Kocaelispor,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/superliga-turca/alanyaspor-kocaelispor-apuestas-35363452,under35_late,BACK U3.5 Late,65,3-0,BACK UNDER 3.5 @ 2.20,2.2,1.5,0.275,medium,59.6,42.7,94,paper,1.0,auto,won,won,1.2,1
32,2026-03-18 14:29:24,alanyaspor-kocaelispor-apuestas-35363452,Alanyaspor - Kocaelispor,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/superliga-turca/alanyaspor-kocaelispor-apuestas-35363452,cs_big_lead,BACK CS Big Lead,67,3-0,BACK CS 3-0 @ 2.08,2.08,1.3,0.299,medium,64.1,76.1,78,paper,1.0,auto,lost,lost,-1.0,1
33,2026-03-18 18:27:20,eyupspor-trabzonspor-apuestas-35363525,Eyupspor - Trabzonspor,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/superliga-turca/eyupspor-trabzonspor-apuestas-35363525,draw_xg_conv,BACK Draw xG Convergence,65,0-0,BACK DRAW @ 2.12,2.12,1.3,0.121,medium,54.3,25.6,232,paper,1.0,auto,lost,lost,-1.0,1
34,2026-03-18 18:29:24,basaksehir-antalyaspor-apuestas-35363451,Basaksehir - Antalyaspor,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/superliga-turca/basaksehir-antalyaspor-apuestas-35363451,draw_xg_conv,BACK Draw xG Convergence,66,0-0,BACK DRAW @ 2.14,2.14,1.3,0.131,medium,54.3,25.6,232,paper,1.0,auto,won,won,1.08,1
35,2026-03-18 18:36:00,eyupspor-trabzonspor-apuestas-35363525,Eyupspor - Trabzonspor,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/superliga-turca/eyupspor-trabzonspor-apuestas-35363525,cs_one_goal,BACK CS One-Goal,74,0-1,BACK CS 0-1 @ 2.18,2.18,1.8,0.156,medium,54.5,44.0,200,paper,1.0,auto,won,won,1.12,1
36,2026-03-18 19:24:48,frosinone-ssd-bari-apuestas-35372506,Frosinone - SSD Bari,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/serie-b-italiana/frosinone-ssd-bari-apuestas-35372506,under35_late,BACK U3.5 Late,62,2-1,BACK UNDER 3.5 @ 3.35,3.35,1.5,0.985,medium,61.4,46.8,88,paper,1.0,auto,won,won,2.35,1
37,2026-03-18 19:25:19,frosinone-ssd-bari-apuestas-35372506,Frosinone - SSD Bari,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/serie-b-italiana/frosinone-ssd-bari-apuestas-35372506,cs_close,BACK CS Close,62,2-1,BACK CS 2-1 @ 3.30,3.3,1.3,0.678,medium,52.7,96.6,131,paper,1.0,auto,won,won,2.18,1
38,2026-03-18 20:12:28,calcio-avellino-ssd-sudtirol-apuestas-35376370,Avellino - Sudtirol,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/serie-b-italiana/calcio-avellino-ssd-sudtirol-apuestas-35376370,goal_clustering,Goal Clustering,52,1-1,BACK Over 2.5 @ 3.45,3.45,0,2.184,medium,95.7,43.9,69,paper,1.0,auto,won,won,2.33,1
