match,match_id,csv_file,timestamp_utc,strategy,minuto,score,ft_score,won,pl,back_draw,back_over_odds,over_line,back_odds,drift_pct,xg_total,xg_excess,poss_diff,shots_total,sot_total,sot_max,passes_v15,passes_v2r,passes_v2,passes_v3,passes_v4,team,goal_diff,cashout_applied,cashout_minute,cashout_lay_odds,conservative_odds,pl_conservative,stability_count,risk_level
"Boulogne Clermont",boulogne-clermont-apuestas-35263818,boulogne-clermont-apuestas-35263818.csv,2026-02-20 19:03:38,Tarde Asia,2,,0-2,0,-10,,2.62,Over 2.5,,,,,,,,,0,0,0,0,0,,,0,,,2.56,-10,5,
"Fc Nordsjaelland Vejle",fc-nordsjaelland-vejle-apuestas-35268010,fc-nordsjaelland-vejle-apuestas-35268010.csv,2026-02-20 19:09:08,Momentum x xG V1,45,1-0,3-3,0,-10,,,,1.41,,,,,,,,0,0,0,0,0,,,0,,,1.18,-10,9,none
"Botosani Universitatea Cluj",botosani-universitatea-cluj-apuestas-35261616,botosani-universitatea-cluj-apuestas-35261616.csv,2026-02-20 19:12:23,xG Underperf,49,1-2,1-3,1,2.47,,1.31,Over 3.5,,,,0.58,,,,,0,0,1,1,0,home,,0,,,1.23,2.18,11,
"Annecy Red Star",annecy-red-star-apuestas-35263813,annecy-red-star-apuestas-35263813.csv,2026-02-20 19:12:23,Momentum x xG V1,10,0-0,2-1,1,12.73,,,,2.42,,,,,,,,0,0,0,0,0,,,0,,,2.38,13.11,10,none
"Botosani Universitatea Cluj",botosani-universitatea-cluj-apuestas-35261616,botosani-universitatea-cluj-apuestas-35261616.csv,2026-02-20 19:25:59,Goal Clustering,56,1-3,1-3,0,-10,,1.54,Over 4.5,,,,,,,,3,0,0,0,1,1,,,0,,,1.43,-10,3,
"Rodez Montpellier",rodez-montpellier-apuestas-35266151,rodez-montpellier-apuestas-35266151.csv,2026-02-20 19:25:59,Momentum x xG V1,24,0-0,1-0,1,17.1,,,,2.9,,,,,,,,0,0,0,0,0,,,0,,,2.78,16.91,8,none
"Dunkerque Bastia",dunkerque-bastia-apuestas-35273785,dunkerque-bastia-apuestas-35273785.csv,2026-02-20 19:29:34,Momentum x xG V1,28,0-0,1-1,0,-10,,,,3.6,,,,,,,,0,0,0,0,0,,,0,,,3.6,-10,11,none
"Nancy Grenoble",nancy-grenoble-apuestas-35266154,nancy-grenoble-apuestas-35266154.csv,2026-02-20 19:42:10,Back Empate,40,,0-0,1,15.96,2.78,,,,,,,,,,,0,0,0,0,0,,,0,,,2.78,16.91,11,
"Boulogne Clermont",boulogne-clermont-apuestas-35263818,boulogne-clermont-apuestas-35263818.csv,2026-02-20 19:42:11,Back Empate,41,,0-2,0,-10,2.4,,,,,,,,,,,0,0,0,0,0,,,0,,,2.4,-10,11,
"Fortuna Sittard Excelsior",fortuna-sittard-excelsior-apuestas-35243098,fortuna-sittard-excelsior-apuestas-35243098.csv,2026-02-20 19:47:53,Back Empate,46,,2-1,0,-10,2.72,,,,,0.58,,0.2,10,3,,1,0,0,0,0,,,0,,,2.72,-10,8,
"Fc Dordrecht Jong Ajax Amsterdam",fc-dordrecht-jong-ajax-amsterdam-apuestas-35276186,fc-dordrecht-jong-ajax-amsterdam-apuestas-35276186.csv,2026-02-20 19:47:54,Back Empate,44,,0-1,0,-10,4,,,,,,,,,,,0,0,0,0,0,,,0,,,3.9,-10,6,
"Dunkerque Bastia",dunkerque-bastia-apuestas-35273785,dunkerque-bastia-apuestas-35273785.csv,2026-02-20 19:54:48,Goal Clustering,46,1-1,1-1,0,-10,,1.39,Over 2.5,,,,,,,,3,0,0,0,1,1,,,0,,,1.38,-10,4,
"Mainz Hamburgo",mainz-hamburgo-apuestas-35244047,mainz-hamburgo-apuestas-35244047.csv,2026-02-20 20:06:24,Momentum x xG V1,25,0-0,1-1,0,-10,,,,3.4,,,,,,,,0,0,0,0,0,,,0,,,3.25,-10,5,none
"Us Pianese Fc Guidonia Montecelio 1937",us-pianese-fc-guidonia-montecelio-1937-apuestas-35,us-pianese-fc-guidonia-montecelio-1937-apuestas-35.csv,2026-02-20 20:06:31,Back Empate,36,,0-0,1,11.4,2.28,,,,,0,,22,3,0,,1,0,0,0,0,,,0,,,2.28,12.16,6,
"Ismaily Wadi Degla",ismaily-wadi-degla-apuestas-35264073,ismaily-wadi-degla-apuestas-35264073.csv,2026-02-20 20:09:34,Back Empate,37,,1-2,0,-10,2.62,,,,,,,,,,,0,0,0,0,0,,,0,,,2.54,-10,7,
"Pyramids Ceramica Cleopatra",pyramids-ceramica-cleopatra-apuestas-35264076,pyramids-ceramica-cleopatra-apuestas-35264076.csv,2026-02-20 20:09:34,Back Empate,37,,0-0,1,14.92,2.66,,,,,,,,,,,0,0,0,0,0,,,0,,,2.62,15.39,11,
"Athletic De Bilbao Elche",athletic-de-bilbao-elche-apuestas-35245234,athletic-de-bilbao-elche-apuestas-35245234.csv,2026-02-20 20:17:55,Momentum x xG V1,16,0-0,2-1,1,5.98,,,,1.69,,,,,,,,0,0,0,0,0,,,0,,,1.69,6.55,5,none
"Gante Círculo Brujas",gante-círculo-brujas-apuestas-35270658,gante-círculo-brujas-apuestas-35270658.csv,2026-02-20 20:30:16,Back Empate,43,,0-1,0,-10,2.62,,,,,0.51,,21.6,13,1,,1,0,0,1,0,,,0,,,2.62,-10,4,
"Defensa Y Justicia Belgrano",defensa-y-justicia-belgrano-apuestas-35251618,defensa-y-justicia-belgrano-apuestas-35251618.csv,2026-02-20 20:50:24,Back Empate,34,,1-1,1,11.97,2.34,,,,,,,6,5,0,,0,0,0,0,0,,,0,,,2.34,12.73,3,
"Blackburn Preston",blackburn-preston-apuestas-35263858,blackburn-preston-apuestas-35263858.csv,2026-02-20 21:11:01,Back Empate,53,,1-0,0,-10,2.08,,,,,0.58,,5.2,9,2,,1,0,0,1,0,,,0,,,2.08,-10,6,
"Mainz Hamburgo",mainz-hamburgo-apuestas-35244047,mainz-hamburgo-apuestas-35244047.csv,2026-02-20 21:16:32,Pressure Cooker,69,,1-1,0,-10,,1.81,Over 2.5,,,,,,,,,0,0,0,0,0,,,0,,,1.4,-10,5,
"Estudiantes Sarmiento De Junin",estudiantes-sarmiento-de-junin-apuestas-35252293,estudiantes-sarmiento-de-junin-apuestas-35252293.csv,2026-02-20 21:21:39,Back Empate,32,,1-0,0,-10,2.76,,,,,,,8,6,2,,0,0,0,0,0,,,0,,,2.6,-10,11,
"Club Football Estrela Tondela",club-football-estrela-tondela-apuestas-35268297,club-football-estrela-tondela-apuestas-35268297.csv,2026-02-20 21:23:34,Odds Drift,33,0-1,0-2,1,5.7,,,,1.66,35,,,,,,,0,0,0,0,0,away,1,0,,,1.23,2.18,5,none
"Athletic De Bilbao Elche",athletic-de-bilbao-elche-apuestas-35245234,athletic-de-bilbao-elche-apuestas-35245234.csv,2026-02-20 21:40:09,Pressure Cooker,69,,2-1,1,11.59,,2.3,Over 2.5,,,,,,,,,0,0,0,0,0,,,0,,,1.81,7.7,3,
"Estudiantes Sarmiento De Junin",estudiantes-sarmiento-de-junin-apuestas-35252293,estudiantes-sarmiento-de-junin-apuestas-35252293.csv,2026-02-20 22:06:45,Goal Clustering,51,1-0,1-0,0,-10,,1.5,Over 1.5,,,,,,,,5,0,0,0,1,0,,,0,,,1.44,-10,4,
"Boca Juniors Racing Club",boca-juniors-racing-club-apuestas-35252394,boca-juniors-racing-club-apuestas-35252394.csv,2026-02-20 23:31:38,Back Empate,32,,0-0,1,12.73,2.42,,,,,,,10,1,0,,0,0,0,0,0,,,0,,,2.38,13.11,8,
"Llaneros Ind Medellin",llaneros-ind-medellin-apuestas-35269192,llaneros-ind-medellin-apuestas-35269192.csv,2026-02-21 00:40:45,xG Underperf,55,0-1,2-2,1,4.94,,1.57,Over 1.5,,,,1.33,,,,,0,0,1,1,0,home,,0,,,1.47,4.46,3,
